PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;40;8;28079040_8_8;2024;12;05;99;V;91;V;67;V;53;V;52;V;50;V;46;V;65;V;75;V;76;V;67;V;61;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;40;10;28079040_10_47;2024;12;05;44;V;50;V;36;V;25;V;15;V;18;V;18;V;22;V;20;V;36;V;28;V;35;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;40;12;28079040_12_8;2024;12;05;316;V;310;V;128;V;64;V;58;V;56;V;53;V;105;V;163;V;215;V;157;V;124;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;47;7;28079047_7_8;2024;12;05;133;V;74;V;43;V;11;V;7;V;4;V;2;V;34;V;95;V;107;V;88;V;69;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;47;8;28079047_8_8;2024;12;05;80;V;57;V;57;V;51;V;46;V;37;V;36;V;52;V;56;V;59;V;64;V;58;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;47;9;28079047_9_47;2024;12;05;16;V;16;V;11;V;11;V;8;V;7;V;11;V;10;V;7;V;13;V;16;V;17;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;47;10;28079047_10_47;2024;12;05;24;V;24;V;15;V;16;V;12;V;11;V;16;V;14;V;15;V;24;V;28;V;31;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;47;12;28079047_12_8;2024;12;05;285;V;171;V;122;V;68;V;57;V;42;V;39;V;104;V;201;V;222;V;199;V;165;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;48;7;28079048_7_8;2024;12;05;30;V;29;V;21;V;9;V;1;V;1;V;1;V;4;V;43;V;54;V;72;V;58;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;48;8;28079048_8_8;2024;12;05;66;V;62;V;60;V;48;V;23;V;29;V;27;V;38;V;61;V;51;V;61;V;57;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;48;9;28079048_9_47;2024;12;05;7;V;12;V;11;V;12;V;9;V;4;V;4;V;4;V;4;V;6;V;13;V;14;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;48;10;28079048_10_47;2024;12;05;16;V;23;V;21;V;23;V;19;V;12;V;13;V;11;V;11;V;19;V;30;V;34;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;48;12;28079048_12_8;2024;12;05;111;V;106;V;92;V;62;V;25;V;30;V;28;V;43;V;126;V;134;V;172;V;145;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;49;7;28079049_7_8;2024;12;05;85;V;90;V;35;V;12;V;5;V;1;V;1;V;2;V;12;V;66;V;70;V;61;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;49;8;28079049_8_8;2024;12;05;61;V;63;V;61;V;53;V;44;V;37;V;30;V;29;V;42;V;49;V;63;V;68;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;49;12;28079049_12_8;2024;12;05;192;V;200;V;116;V;71;V;51;V;39;V;32;V;33;V;61;V;150;V;170;V;162;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;49;14;28079049_14_6;2024;12;05;2;V;2;V;2;V;3;V;3;V;4;V;17;V;11;V;3;V;3;V;4;V;6;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;50;7;28079050_7_8;2024;12;05;4;V;12;V;15;V;2;V;1;V;2;V;1;V;2;V;37;V;64;V;66;V;51;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;50;8;28079050_8_8;2024;12;05;42;V;52;V;55;V;34;V;17;V;24;V;22;V;33;V;52;V;50;V;53;V;49;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;50;9;28079050_9_47;2024;12;05;12;V;15;V;13;V;4;V;4;V;1;V;6;V;8;V;7;V;12;V;10;V;15;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;50;10;28079050_10_47;2024;12;05;33;V;36;V;33;V;11;V;9;V;7;V;8;V;14;V;10;V;25;V;30;V;39;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;50;12;28079050_12_8;2024;12;05;48;V;71;V;77;V;38;V;18;V;27;V;23;V;36;V;109;V;149;V;154;V;127;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;54;7;28079054_7_8;2024;12;05;105;V;68;V;43;V;6;V;4;V;5;V;11;V;48;V;123;V;72;V;59;V;65;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;54;8;28079054_8_8;2024;12;05;78;V;70;V;58;V;48;V;46;V;45;V;48;V;60;V;69;V;57;V;54;V;54;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;54;12;28079054_12_8;2024;12;05;240;V;174;V;124;V;58;V;52;V;52;V;65;V;134;V;257;V;168;V;145;V;154;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;54;14;28079054_14_6;2024;12;05;1;V;1;V;1;V;2;V;2;V;3;V;6;V;1;V;1;V;5;V;9;V;12;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;55;7;28079055_7_8;2024;12;05;37;V;32;V;12;V;2;V;1;V;3;V;17;V;34;V;42;V;35;V;30;V;25;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;55;8;28079055_8_8;2024;12;05;41;V;33;V;22;V;14;V;14;V;21;V;30;V;34;V;29;V;33;V;40;V;30;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;55;10;28079055_10_47;2024;12;05;23;V;23;V;19;V;15;V;8;V;6;V;9;V;9;V;9;V;14;V;14;V;14;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;55;12;28079055_12_8;2024;12;05;99;V;82;V;39;V;16;V;15;V;25;V;57;V;86;V;94;V;87;V;86;V;68;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;55;20;28079055_20_59;2024;12;05;8.2;V;8.7;V;4.7;V;3.2;V;1.3;V;2.2;V;2.1;V;1.5;V;3.2;V;3.8;V;7.1;V;3.1;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;55;30;28079055_30_59;2024;12;05;1.7;V;1.9;V;1.5;V;1;V;0.6;V;0.7;V;0.7;V;1;V;1.3;V;1.4;V;1.6;V;1.1;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;55;35;28079055_35_59;2024;12;05;1.9;V;1.9;V;0.8;V;0.7;V;0.3;V;0.4;V;0.3;V;0.2;V;0.5;V;0.4;V;0.7;V;0.5;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;56;6;28079056_6_48;2024;12;05;0.7;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.6;V;0.7;V;0.5;V;0.5;V;0.5;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;56;7;28079056_7_8;2024;12;05;104;V;22;V;16;V;27;V;26;V;20;V;47;V;137;V;157;V;64;V;57;V;105;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;56;8;28079056_8_8;2024;12;05;78;V;58;V;48;V;60;V;52;V;49;V;53;V;78;V;83;V;53;V;58;V;79;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;56;9;28079056_9_47;2024;12;05;13;V;11;V;7;V;6;V;9;V;11;V;12;V;11;V;16;V;20;V;8;V;13;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;56;10;28079056_10_47;2024;12;05;16;V;14;V;9;V;8;V;12;V;12;V;13;V;13;V;19;V;23;V;10;V;17;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
